"Enfeksiyon ve parazit hastalıkları nedeniyle yetişkin ölümlülüğü, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Adult mortality by certain infectious and parasitic diseases, 2009-2023",,,,,,,
,,,,,,,(%)
,15-34 yaş-age,,,,35-59 yaş-age,,
"Yıl
Year","Toplam
 Total","Erkek 
Male","Kadın  
Female",,"Toplam
 Total","Erkek 
Male","Kadın  
Female"
2009,2.524962699414668,2.140456394834601,3.2352941176470593,,2.129227582360674,2.1469059296895647,2.091972519650925
2010,2.4480712166172105,1.8486332753989574,3.6691342130672675,,2.055663481742854,2.042724802010579,2.0829481727984227
2011,2.5184541901867132,2.211302211302211,3.1219826198905696,,1.9390206105687278,1.8423922401423407,2.1397067588508762
2012,2.3154397258851622,2.0277481323372464,2.9296875,,1.864351683652982,1.8138155106653482,1.970181043663472
2013,2.1192498528298715,1.9935920256318975,2.424942263279446,,1.9711690224825507,1.8975724515912205,2.1263835123493813
2014,2.504258943781942,2.142942655333413,3.3953351048125184,,2.095829143986409,2.0687865022712524,2.150200928970304
2015,2.482397544683156,2.0379208048497355,3.520914835991574,,2.1783585193400805,2.056268637365487,2.4248758818918215
2016,2.477999073645206,2.1201413427561837,3.4024896265560165,,2.2148931895801245,2.1048142294473293,2.435710331639072
2017,2.5455413252724526,2.0689655172413794,3.7856726849155504,,2.4475524475524475,2.2037750765885957,2.9444332595127842
2018,1.816339257873402,1.4298000430015052,2.836074872376631,,2.3483075706140206,2.0978168069276744,2.8699141565500073
2019,2.3062574190266236,1.8944844124700237,3.3005211349160395,,2.5742282231107034,2.3360023506941894,3.056119669126752
2020,2.0806962025316453,1.7920747996438113,2.789934354485777,,2.3829811406498522,2.2114895780376207,2.7318166149603584
2021,2.3727844482561466,2.0529665366454526,3.1058823529411765,,2.899900796051199,2.6988085342200057,3.2815622480103777
2022,2.884686688913608,2.468228127297553,3.884964682139253,,3.5903454917539426,3.2509694291640363,4.271493212669683
2023,1.3877738272737699,1.3309783637166468,1.4751552795031055,,3.0387761135199054,2.9795886447172912,3.1395658543081635
"Kaynak: TÜİK, Ölüm ve Ölüm Nedeni İstatistikleri, 2009-2023",,,,,,,
"Source: TurkStat, Death and Causes of Death Statistics, 2009-2023",,,,,,,
