"Urlar nedeniyle yetişkin ölümlülüğü, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"Adult mortality by neoplasms, 2009-2023",,,,,,,
,,,,,,,(%)
,15-34 yaş-age,,,,35-59 yaş-age,,
"Yıl
Year","Toplam
 Total","Erkek 
Male","Kadın  
Female",,"Toplam
 Total","Erkek 
Male","Kadın  
Female"
2009,19.132330999655686,16.15071643375199,24.640522875816995,,35.758674262040394,34.52377456019266,38.36108188401312
2010,18.620178041543,14.820666772001895,26.359832635983267,,36.56583277167664,35.07408165054502,39.71159179145868
2011,18.465045592705167,14.791154791154792,25.68393949147087,,36.711607004494034,34.818917522814665,40.64250804625104
2012,17.724016197694944,14.560146363774965,24.479166666666664,,36.90269040289118,35.0444978104252,40.79398887705597
2013,14.775880918341603,11.308888097780942,23.21016166281755,,36.60867735260075,34.6475013572555,40.74477945586391
2014,16.0221465076661,12.45061654495391,24.830233244759377,,36.26876538501543,34.3724853990915,40.08141537498043
2015,16.293554793283988,12.898232942086935,24.22509780318989,,35.496672674338,33.43964734863218,39.64463025868827
2016,14.011116257526632,10.729200128493414,22.4896265560166,,33.82943815710172,31.32635909786508,38.850586281515774
2017,13.777742423037148,10.071154898741105,23.645894001164823,,33.54986245981507,30.66755608261686,39.425206361989126
2018,12.02837542874961,9.073317566114813,19.82416335791265,,32.820276193929004,29.786559336504453,39.13750190481028
2019,12.947261319314906,9.808153477218227,20.526925303995366,,31.521596644163335,28.411567374323564,37.812670265986426
2020,12.112341772151899,9.227515583259127,19.201312910284464,,26.31504203590093,23.337146246398916,32.372457773181665
2021,9.691252144082332,7.513857524122357,14.682352941176472,,21.870841297878002,19.432899233397986,26.497913964169268
2022,10.367074527252502,7.772292826383784,16.59939455095863,,25.920910075839654,22.32843358282983,33.13122171945702
2023,5.33700347899224,4.8697407430770205,6.055900621118012,,21.498078439101302,19.199186673965745,25.412837927819947
"Kaynak: TÜİK, Ölüm ve Ölüm Nedeni İstatistikleri, 2009-2023",,,,,,,
"Source: TurkStat, Death and Causes of Death Statistics, 2009-2023",,,,,,,
